created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 19:21:45 +0000 2024;1749150304975921566;"@gibran_tweet Ponakan MK tanpa tata krama tanpa etika Hancur generasi!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1726084353661505536;1749099183049687332;Rafi90I;https://twitter.com/Rafi90I/status/1749150304975921566
Sun Jan 21 19:21:44 +0000 2024;1749150302815785465;"@gibran_tweet Gibran tanpa moral dan etika seperti capres 02  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1716726756600889344;1749099183049687332;Baayuuakbar;https://twitter.com/Baayuuakbar/status/1749150302815785465
Sun Jan 21 19:21:43 +0000 2024;1749150300211192226;"@UmarSyadatHsb__ Gibran debat isinya cuma bikin mual!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1714560086922919936;1749130937542320239;wahyu_purnamaaa;https://twitter.com/wahyu_purnamaaa/status/1749150300211192226
Sun Jan 21 19:21:43 +0000 2024;1749150299544277167;"@UmarSyadatHsb__ Ponakan MK yang tengil ogak layak dipilih!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1713877793594048512;1749130937542320239;jinanjamilaaa;https://twitter.com/jinanjamilaaa/status/1749150299544277167
Sun Jan 21 19:21:43 +0000 2024;1749150298898420103;"@UmarSyadatHsb__ Ponakan MK yang tengil ogak pantas jadi pemimpin!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1713548328582180864;1749130937542320239;AnggreiniMawrr;https://twitter.com/AnggreiniMawrr/status/1749150298898420103
Sun Jan 21 19:21:41 +0000 2024;1749150291642233063;"@UmarSyadatHsb__ Ponakan MK yang tengil ogak layak jadi pemimpin!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1724829162488393728;1749130937542320239;rakasuryadii;https://twitter.com/rakasuryadii/status/1749150291642233063
Sun Jan 21 19:21:40 +0000 2024;1749150287657676821;"@KompasTV @gibran_tweet ini mmg pintar dan sangat hebat makanya KETUM partai pendukungnya pd kesalip jd cawapres😷🤭";0;0;0;0;in;1326487970526883841;1749069375037223173;HDesianna;https://twitter.com/HDesianna/status/1749150287657676821
Sun Jan 21 19:21:40 +0000 2024;1749150286915252708;"@UmarSyadatHsb__ Capres 02 sama aja nol moral dan etika mirip Gibran!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1725081296089845760;1749130937542320239;cahyaramadhann;https://twitter.com/cahyaramadhann/status/1749150286915252708
Sun Jan 21 19:21:39 +0000 2024;1749150283828240681;"@UmarSyadatHsb__ Gibran malu deh jadi panutan anak muda!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1714496449483010048;1749130937542320239;rahmataldii;https://twitter.com/rahmataldii/status/1749150283828240681
Sun Jan 21 19:21:39 +0000 2024;1749150282846806185;"@gibran_tweet Mantap mas gibran, saya harap tidak hanya janji saja. Kalo menang semoga amanah dan netral kepada masyarakat mas. Hapus kan pikran masyarakat tentang politik dinasti. Terimakasih 🙏✌️";0;0;0;0;in;1682877233717993473;1749099183049687332;sobatambyarsek;https://twitter.com/sobatambyarsek/status/1749150282846806185
Sun Jan 21 19:21:38 +0000 2024;1749150279541600669;"@budimandjatmiko @gibran_tweet Debat pertama Pak Prabowo diserang. Mereka bilang Tidak tahan oposisi &amp  Ada yang  membawa Ayah korban 2019 Debat kedua Pak Prabowo diserang sampai memberi nilai 5 dan 1   Debat ke empat Gibrang menyerang  dibilang tidak beritika Padahal dari awal  mereka sudah nyerang duluan";0;0;0;0;in;1643220684095766528;1749057001836150801;azim_marekhan;https://twitter.com/azim_marekhan/status/1749150279541600669
Sun Jan 21 19:21:38 +0000 2024;1749150277582901739;"blm ada info kl gibran maju cawapres. blm tau pokonya siapa aja yg fix mncalonkan diri. pas tau, gils pilihan yg sulit antara 02 dan 03. gue pgn pilih ganjar tp gue jg pgn pilih gibran,shitmen";0;0;0;0;in;1420986398371291136;1749149603990311405;rasitastd;https://twitter.com/rasitastd/status/1749150277582901739
Sun Jan 21 19:21:36 +0000 2024;1749150270406447496;"@budimandjatmiko @gibran_tweet Etika di atas ilmu..karena nir etika menjadi songong.. Kalian sepertinya sangat bermasalah dengan kata2 ETIKA..jika kalian punya etika..pasti suda pamit baik2 dengan PDIP...";0;0;0;0;in;1456198241620430848;1749050704004841775;ToniMunthe21;https://twitter.com/ToniMunthe21/status/1749150270406447496
Sun Jan 21 19:21:25 +0000 2024;1749150224684400668;"@UmarSyadatHsb__ Capres yang songong dan tengil mana ada moralnya?  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1716330215268663296;1749130937542320239;prabuuprasetya;https://twitter.com/prabuuprasetya/status/1749150224684400668
Sun Jan 21 19:21:22 +0000 2024;1749150212168515815;"@bengkeldodo Mas @gibran_tweet  saya berharap profesional terhormat, malah koyo wong arep adu wedus munduk2 giliran debat cawapres malah koyo bocah jenthungan";0;0;0;0;in;1474943932958068736;1749147122681913835;Mbahhardiman;https://twitter.com/Mbahhardiman/status/1749150212168515815
Sun Jan 21 19:21:21 +0000 2024;1749150204392329452;"@_ninsininn @terong_baladoo @AdamsIlham @Gerindra kutipan Anies : Sesuai dengan pak jokowi Bilang luas tanah 340.000 Hektare , " Tanya pak Jokowi ". Ngerti gesture gak? Gesture gibran itu kurang ajar. Emang ada debat cawapres pakai gesture begituan???";0;0;0;0;in;1637555866235981824;1749075444933214638;VSusela34929;https://twitter.com/VSusela34929/status/1749150204392329452
Sun Jan 21 19:21:19 +0000 2024;1749150199866699837;"@itsindahg di tt banyak wkwk, mereka malah bilang gibran cerdas karna goreng 01 &amp  03 padahal mahh 😂";0;0;0;0;in;1315586117471662080;1749109740570108046;minyoongh;https://twitter.com/minyoongh/status/1749150199866699837
Sun Jan 21 19:21:17 +0000 2024;1749150190194548846;"@WaktunyaIDMaju Mas Gibran keren deh pokoknya 👍🏻👍🏻👍🏻";0;0;0;0;in;1737380418314547200;1748994988225270249;Jeismyname_;https://twitter.com/Jeismyname_/status/1749150190194548846
